sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
F50 WQXGA,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"Compact 120 Hz, single-chip DLP projector with WQXGA resolution","Compact 120 Hz, single-chip DLP projector with WQXGA resolution","Compact 120 Hz, single-chip DLP projector with WQXGA resolution",1,1,Taxable Goods,"Catalog, Search",71,,,,f50 wqxga,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F50 WUXGA,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"Compact 120 Hz, single-chip DLP projector with WUXGA resolution","Compact 120 Hz, single-chip DLP projector with WUXGA resolution","Compact 120 Hz, single-chip DLP projector with WUXGA resolution",1,1,Taxable Goods,"Catalog, Search",72,,,,f50 wuxga,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-4K12,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"12,000 lumens, 4K UHD, DLP laser phosphor projector","12,000 lumens, 4K UHD, DLP laser phosphor projector","12,000 lumens, 4K UHD, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",73,,,,f80-4k12,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-Q12,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"12,000 lumens, WQXGA, DLP laser phosphor projector","12,000 lumens, WQXGA, DLP laser phosphor projector","12,000 lumens, WQXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",74,,,,f80-q12,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-Q7,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"7,000 lumens, WQXGA, DLP laser phosphor projector","7,000 lumens, WQXGA, DLP laser phosphor projector","7,000 lumens, WQXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",75,,,,f80-q7,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F80-Q9,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"9,000 lumens, WQXGA, DLP laser phosphor projector","9,000 lumens, WQXGA, DLP laser phosphor projector","9,000 lumens, WQXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",76,,,,f80-q9,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
F90-W13,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"13,000 lumens, WUXGA, DLP laser phosphor projector","13,000 lumens, WUXGA, DLP laser phosphor projector","13,000 lumens, WUXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",77,,,,f90-w13,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
G60-W10,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"10,000 lumens, WUXGA, DLP laser phosphor projector","10,000 lumens, WUXGA, DLP laser phosphor projector","10,000 lumens, WUXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",78,,,,g60-w10,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
G60-W7,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"7,000 lumens, WUXGA, DLP laser phosphor projector","7,000 lumens, WUXGA, DLP laser phosphor projector","7,000 lumens, WUXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",79,,,,g60-w7,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
G60-W8,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"8,000 lumens, WUXGA, DLP laser phosphor projector","8,000 lumens, WUXGA, DLP laser phosphor projector","8,000 lumens, WUXGA, DLP laser phosphor projector",1,1,Taxable Goods,"Catalog, Search",80,,,,g60-w8,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
HDX-W12,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"12,000 lumens, WUXGA, 3-chip DLP projector","12,000 lumens, WUXGA, 3-chip DLP projector","12,000 lumens, WUXGA, 3-chip DLP projector",1,1,Taxable Goods,"Catalog, Search",81,,,,hdx-w12,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
HDX-W14,,Default,simple,"Default Category/Islamic,Default Category/Islamic/Books",base,"14,000 lumens, WUXGA, 3-chip DLP projector","14,000 lumens, WUXGA, 3-chip DLP projector","14,000 lumens, WUXGA, 3-chip DLP projector",1,1,Taxable Goods,"Catalog, Search",82,,,,hdx-w14,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
